Lote,Individuo,AE,LE,AT,LT,AA,LA,NV,Morfotipo,Ratio_LE_AE,Ratio_LT_AT,Ratio_LA_AA,Ratio_LE_LT,Ratio_AE_AT,Ratio_LA_LT,Ratio_AA_AT,Ratio_LE_LA,Ratio_AE_AA
96,5,6.18,1.83,13.57,10.0,8.1,6.04,5.15,LU,0.29611650485436897,0.7369196757553427,0.745679012345679,0.183,0.4554163596168017,0.604,0.5969049373618275,0.3029801324503311,0.762962962962963
96,5,6.16,1.83,13.66,10.08,8.16,6.13,5.12,LU,0.2970779220779221,0.7379209370424598,0.7512254901960784,0.18154761904761904,0.45095168374816985,0.6081349206349206,0.5973645680819912,0.2985318107667211,0.7549019607843137
96,5,6.14,1.81,13.61,10.01,8.2,6.14,5.1,LU,0.2947882736156352,0.7354886113152094,0.748780487804878,0.18081918081918083,0.4511388684790595,0.6133866133866134,0.6024981631153563,0.2947882736156352,0.748780487804878
96,5,6.18,1.82,13.85,10.07,8.16,6.14,5.09,LU,0.29449838187702265,0.7270758122743682,0.7524509803921569,0.1807348560079444,0.44620938628158846,0.6097318768619662,0.5891696750902528,0.2964169381107492,0.7573529411764706
96,6,6.58,2.16,11.69,9.1,6.56,4.92,5.49,LU,0.32826747720364746,0.7784431137724551,0.75,0.23736263736263738,0.562874251497006,0.5406593406593406,0.5611633875106928,0.4390243902439025,1.003048780487805
96,6,6.59,2.19,11.53,9.17,6.61,4.88,5.47,LU,0.3323216995447648,0.795316565481353,0.7382753403933434,0.23882224645583425,0.5715524718126627,0.5321701199563795,0.5732870771899393,0.4487704918032787,0.9969742813918305
96,6,6.51,2.15,11.67,9.12,6.69,4.96,5.48,LU,0.3302611367127496,0.781491002570694,0.7414050822122571,0.23574561403508773,0.5578406169665809,0.543859649122807,0.5732647814910026,0.4334677419354839,0.9730941704035874
96,6,6.61,2.15,11.73,9.27,6.71,4.87,5.45,LU,0.3252647503782148,0.7902813299232736,0.7257824143070045,0.2319309600862999,0.5635123614663257,0.5253505933117584,0.5720375106564365,0.4414784394250513,0.985096870342772
99,19,6.91,2.09,13.8,10.3,8.16,6.05,5.22,LU,0.3024602026049204,0.7463768115942029,0.7414215686274509,0.20291262135922328,0.5007246376811594,0.587378640776699,0.591304347826087,0.34545454545454546,0.8468137254901961
99,19,6.9,2.09,13.76,10.41,8.23,6.07,5.21,LU,0.30289855072463767,0.7565406976744187,0.7375455650060754,0.20076849183477424,0.501453488372093,0.5830931796349664,0.5981104651162791,0.34431630971993404,0.8383961117861483
