Lote,Individuo,AE,LE,AT,LT,AA,LA,NV,Morfotipo,Labio
101,11,5.95,1.84,12.40,9.25,7.46,5.67,5.46,LU,0
101,11,6.08,1.85,12.28,9.12,7.43,5.62,5.44,LU,0
101,11,6.04,1.81,12.54,9.11,7.43,5.67,5.48,LU,0
101,12,8.03,2.61,15.84,11.59,8.88,7.29,5.39,LU,0
101,12,7.95,2.57,16.04,11.76,9.02,7.34,5.40,LU,0
101,12,8.01,2.57,15.83,11.55,8.89,7.36,5.38,LU,0
101,12,8.00,2.60,15.92,11.56,9.09,7.34,5.39,LU,0
101,13,6.24,1.55,12.89,9.42,7.71,6.04,5.25,LU,1
101,13,6.17,1.55,12.81,9.38,7.86,6.03,5.20,LU,1
101,13,6.18,1.50,12.62,9.40,7.85,6.11,5.21,LU,1
101,13,6.22,1.51,12.81,9.18,7.80,6.12,5.23,LU,1
101,14,6.63,2.19,13.29,9.78,7.58,5.21,5.16,LU,1
101,14,6.52,2.19,13.33,9.66,7.52,5.29,5.11,LU,1
101,14,6.54,2.21,13.11,9.80,7.53,5.18,5.15,LU,1
101,14,6.59,2.17,13.29,9.62,7.68,5.22,5.15,LU,1
101,15,6.15,2.09,14.02,9.07,8.31,5.39,4.93,LU,1
101,15,6.17,2.06,13.94,9.05,8.40,5.40,4.96,LU,1
101,15,6.13,2.08,13.92,9.09,8.37,5.40,4.96,LU,1
101,15,6.03,2.09,13.91,8.96,8.41,5.36,4.95,LU,1
101,16,5.34,1.51,11.41,8.71,6.48,5.97,4.72,LU,0
101,16,5.41,1.51,11.73,8.62,6.49,5.87,4.76,LU,0
101,16,5.37,1.50,11.64,8.56,6.58,5.97,4.72,LU,0
101,16,5.39,1.46,11.53,8.71,6.43,5.89,4.73,LU,0
101,17,5.68,1.75,12.37,9.39,7.42,6.24,4.70,LU,0
101,17,5.69,1.75,12.23,9.15,7.27,6.15,4.69,LU,0
101,17,5.70,1.74,12.32,9.36,7.31,6.25,4.73,LU,0
101,17,5.67,1.77,12.20,9.16,7.43,6.17,4.70,LU,0
101,18,4.66,1.18,10.15,7.86,6.25,5.23,4.61,LU,0
101,18,4.59,1.22,10.23,7.69,6.31,5.25,4.58,LU,0
101,18,4.67,1.22,10.21,7.70,6.18,5.20,4.59,LU,0
101,18,4.60,1.19,10.27,7.83,6.16,5.22,4.57,LU,0
101,19,4.57,1.37,10.11,7.35,5.56,4.62,4.90,LU,0
101,19,4.71,1.37,9.91,7.17,5.61,4.70,4.90,LU,0
101,19,4.68,1.41,10.03,7.25,5.65,4.71,4.86,LU,0
101,19,4.66,1.42,10.04,7.33,5.51,4.70,4.90,LU,0
101,20,5.27,1.39,11.40,7.86,6.37,5.53,4.68,LU,0
101,20,5.16,1.37,11.34,8.05,6.45,5.52,4.69,LU,0
101,20,5.19,1.38,11.27,7.95,6.48,5.52,4.72,LU,0
101,20,5.15,1.38,11.27,7.84,6.52,5.46,4.70,LU,0
101,21,5.56,1.86,12.03,8.81,6.92,5.81,4.85,LU,0
101,21,5.55,1.86,12.15,8.84,6.72,5.72,4.81,LU,0
101,21,5.54,1.85,12.15,8.88,6.77,5.74,4.86,LU,0
101,21,5.52,1.88,12.29,8.77,6.85,5.71,4.84,LU,0
101,22,5.09,1.49,11.40,8.08,5.97,5.51,4.55,LU,0
101,22,5.10,1.49,11.50,8.08,6.14,5.52,4.56,LU,0
101,22,5.03,1.46,11.26,7.96,6.18,5.42,4.56,LU,0
101,22,4.98,1.48,11.52,8.17,6.04,5.49,4.55,LU,0
101,23,5.25,1.48,11.71,8.23,6.57,5.57,4.72,LU,0
101,23,5.22,1.48,11.71,8.13,6.62,5.63,4.71,LU,0
101,23,5.24,1.46,11.81,8.27,6.60,5.67,4.72,LU,0
101,23,5.12,1.48,11.86,8.18,6.65,5.58,4.73,LU,0
101,24,4.69,1.17,10.71,7.54,6.24,5.29,4.74,LU,0
101,24,4.66,1.22,10.85,7.64,6.09,5.27,4.76,LU,0
101,24,4.66,1.22,10.93,7.61,6.29,5.40,4.76,LU,0
101,24,4.63,1.21,10.74,7.65,6.24,5.27,4.73,LU,0
101,25,4.26,1.26,9.29,7.19,5.74,4.85,5.07,LU,0
101,25,4.25,1.27,9.24,7.41,5.76,4.75,5.07,LU,0
101,25,4.23,1.30,9.34,7.27,5.77,4.74,5.03,LU,0
101,25,4.33,1.30,9.26,7.31,5.64,4.83,5.09,LU,0
101,26,4.77,1.55,10.12,7.78,5.68,4.86,5.07,LU,0
