Lote,Individuo,AE,LE,AT,LT,AA,LA,NV,Morfotipo,Ratio_LE_AE,Ratio_LT_AT,Ratio_LA_AA,Ratio_LE_LT,Ratio_AE_AT,Ratio_LA_LT,Ratio_AA_AT,Ratio_LE_LA,Ratio_AE_AA
122,3,6.34,1.84,13.59,9.66,7.96,5.57,5.25,LU,0.2902208201892745,0.7108167770419426,0.699748743718593,0.1904761904761905,0.4665194996320824,0.5766045548654245,0.5857247976453275,0.33034111310592457,0.7964824120603015
122,8,5.9,1.85,12.11,9.55,6.95,5.99,5.1,LU,0.3135593220338983,0.7886044591246905,0.8618705035971224,0.19371727748691098,0.48720066061106526,0.6272251308900524,0.573905862923204,0.3088480801335559,0.8489208633093526
122,9,6.7,2.08,14.01,11.1,8.76,6.63,5.39,LU,0.31044776119402984,0.7922912205567452,0.7568493150684932,0.1873873873873874,0.47822983583154893,0.5972972972972973,0.6252676659528907,0.3137254901960784,0.7648401826484018
122,10,6.88,2.05,15.19,10.98,8.98,6.79,5.27,LU,0.29796511627906974,0.7228439763001976,0.7561247216035635,0.1867030965391621,0.4529295589203423,0.6183970856102003,0.5911784068466096,0.3019145802650957,0.7661469933184855
122,11,7.54,2.22,15.4,11.19,8.91,6.61,5.35,LU,0.29442970822281167,0.7266233766233766,0.7418630751964086,0.19839142091152817,0.4896103896103896,0.5907059874888294,0.5785714285714285,0.3358547655068079,0.8462401795735129
122,12,7.45,2.06,15.3,11.64,9.13,7.23,5.25,LU,0.276510067114094,0.7607843137254902,0.791894852135816,0.17697594501718214,0.4869281045751634,0.6211340206185567,0.5967320261437908,0.28492392807745504,0.8159912376779846
122,13,8.18,2.14,16.29,12.02,9.79,7.05,5.43,LU,0.2616136919315404,0.7378759975445058,0.7201225740551583,0.17803660565723795,0.5021485573971762,0.586522462562396,0.6009821976672806,0.3035460992907802,0.8355464759959143
122,14,7.77,2.42,14.72,11.33,8.34,6.47,5.44,LU,0.31145431145431146,0.7697010869565217,0.7757793764988009,0.21359223300970873,0.5278532608695652,0.5710503089143866,0.5665760869565217,0.3740340030911901,0.9316546762589928
122,15,6.79,1.85,13.78,10.78,8.17,6.82,4.92,LU,0.272459499263623,0.7822931785195936,0.8347613219094248,0.17161410018552878,0.4927431059506531,0.6326530612244898,0.5928882438316401,0.27126099706744866,0.8310893512851897
122,16,7.45,2.23,15.49,11.36,8.64,6.62,5.55,LU,0.2993288590604027,0.7333763718528082,0.7662037037037037,0.19630281690140847,0.48095545513234345,0.5827464788732395,0.5577792123950936,0.33685800604229604,0.8622685185185185
122,17,7.62,2.11,15.42,11.61,8.96,6.84,5.46,LU,0.2769028871391076,0.7529182879377432,0.7633928571428571,0.181739879414298,0.49416342412451364,0.5891472868217055,0.5810635538261998,0.3084795321637427,0.8504464285714285
122,18,6.92,1.97,16.07,11.19,9.0,7.3,4.98,LU,0.2846820809248555,0.6963285625388923,0.8111111111111111,0.17605004468275245,0.43061605476042314,0.6523681858802503,0.5600497822028625,0.26986301369863014,0.7688888888888888
122,19,7.53,1.99,15.97,11.94,9.8,7.29,5.5,LU,0.2642762284196547,0.7476518472135253,0.7438775510204081,0.16666666666666669,0.4715090795241077,0.6105527638190955,0.6136505948653725,0.2729766803840878,0.7683673469387755
122,20,7.23,1.79,14.48,10.94,8.6,6.76,5.13,LU,0.24757952973720607,0.755524861878453,0.786046511627907,0.16361974405850094,0.4993093922651934,0.6179159049360147,0.5939226519337016,0.26479289940828404,0.8406976744186048
122,21,6.87,1.94,14.18,10.34,8.66,6.38,5.43,LU,0.2823871906841339,0.7291960507757405,0.7367205542725173,0.18762088974854932,0.4844851904090268,0.6170212765957447,0.610719322990127,0.30407523510971785,0.7933025404157044
122,22,6.8,2.03,14.48,9.87,8.43,5.88,5.36,LU,0.2985294117647059,0.6816298342541436,0.697508896797153,0.20567375886524822,0.46961325966850825,0.5957446808510639,0.5821823204419889,0.34523809523809523,0.8066429418742586
122,23,7.23,1.98,15.23,11.52,9.25,7.07,5.38,LU,0.2738589211618257,0.7564018384766907,0.7643243243243244,0.171875,0.4747209455022981,0.6137152777777778,0.6073539067629679,0.28005657708628007,0.7816216216216216
122,24,6.59,1.9,13.55,10.02,7.59,5.88,5.18,LU,0.2883156297420334,0.7394833948339483,0.7747035573122529,0.18962075848303392,0.48634686346863465,0.5868263473053892,0.5601476014760147,0.32312925170068024,0.8682476943346509
122,25,6.72,1.83,14.1,10.47,8.22,6.71,5.34,LU,0.2723214285714286,0.7425531914893617,0.816301703163017,0.17478510028653294,0.4765957446808511,0.6408787010506207,0.5829787234042554,0.27272727272727276,0.8175182481751824
122,26,6.93,1.96,13.67,9.82,7.76,5.65,5.21,LU,0.2828282828282828,0.7183613752743233,0.7280927835051547,0.1995926680244399,0.506949524506218,0.575356415478615,0.5676664228237015,0.34690265486725663,0.893041237113402
122,27,6.57,1.73,14.06,10.1,8.59,6.18,5.28,LU,0.2633181126331811,0.7183499288762446,0.719441210710128,0.1712871287128713,0.46728307254623047,0.6118811881188119,0.6109530583214794,0.27993527508090615,0.7648428405122235
122,28,6.44,1.91,13.51,10.2,8.47,6.43,5.49,LU,0.296583850931677,0.7549962990377498,0.7591499409681227,0.18725490196078431,0.4766839378238342,0.6303921568627451,0.6269430051813472,0.29704510108864696,0.7603305785123967
122,29,7.36,2.17,14.42,10.63,8.3,6.45,5.32,LU,0.29483695652173914,0.7371705963938974,0.7771084337349398,0.20413922859830666,0.5104022191400832,0.6067732831608654,0.5755894590846048,0.33643410852713174,0.8867469879518072
122,30,6.06,1.78,12.47,9.13,7.13,5.29,5.13,LU,0.29372937293729373,0.7321571772253408,0.7419354838709677,0.1949616648411829,0.48596631916599836,0.579408543263965,0.5717722534081796,0.33648393194706994,0.849929873772791
122,31,6.48,1.69,13.71,9.79,7.69,6.19,5.17,LU,0.26080246913580246,0.7140773158278627,0.8049414824447334,0.17262512768130747,0.4726477024070022,0.6322778345250256,0.5609044493070752,0.27302100161550885,0.8426527958387516
122,32,5.94,1.63,12.56,9.44,7.46,5.82,5.11,LU,0.2744107744107744,0.751592356687898,0.7801608579088473,0.1726694915254237,0.4729299363057325,0.6165254237288136,0.5939490445859872,0.2800687285223367,0.7962466487935658
122,33,6.66,1.85,13.65,9.94,7.73,6.19,5.35,LU,0.2777777777777778,0.7282051282051282,0.8007761966364813,0.18611670020120727,0.4879120879120879,0.6227364185110664,0.5663003663003663,0.2988691437802908,0.8615782664941785
122,34,5.34,1.48,11.2,8.2,6.44,5.24,4.98,LU,0.27715355805243447,0.7321428571428571,0.8136645962732919,0.1804878048780488,0.4767857142857143,0.6390243902439026,0.5750000000000001,0.282442748091603,0.8291925465838509
122,35,5.97,1.76,12.26,9.62,8.07,6.18,5.18,LU,0.2948073701842546,0.7846655791190864,0.7657992565055761,0.18295218295218296,0.48694942903752036,0.6424116424116424,0.6582381729200653,0.284789644012945,0.7397769516728624
122,36,6.32,1.64,13.03,9.83,7.06,6.48,5.0,LU,0.25949367088607594,0.7544128933231006,0.9178470254957508,0.16683621566632756,0.4850345356868765,0.659206510681587,0.5418265541059094,0.2530864197530864,0.8951841359773371
122,37,6.91,1.9,13.47,10.07,7.32,6.17,5.23,LU,0.27496382054992763,0.7475872308834447,0.842896174863388,0.18867924528301885,0.5129918337045286,0.6127110228401191,0.5434298440979956,0.3079416531604538,0.9439890710382514
122,38,6.06,1.54,13.67,9.47,8.45,6.34,4.91,LU,0.25412541254125415,0.6927578639356256,0.7502958579881658,0.16261879619852165,0.44330651060716897,0.6694825765575501,0.6181419166057058,0.24290220820189276,0.7171597633136095
122,39,6.35,1.59,12.92,9.56,6.95,6.33,5.36,LU,0.2503937007874016,0.739938080495356,0.9107913669064748,0.16631799163179917,0.49148606811145507,0.6621338912133891,0.5379256965944272,0.25118483412322273,0.9136690647482013
122,40,5.35,1.52,11.41,8.51,6.58,5.66,4.94,LU,0.2841121495327103,0.7458369851007888,0.8601823708206687,0.17861339600470036,0.4688869412795793,0.6650998824911869,0.5766871165644172,0.26855123674911663,0.8130699088145896
122,41,6.81,1.89,13.55,10.58,7.44,6.64,5.14,LU,0.2775330396475771,0.7808118081180812,0.8924731182795698,0.17863894139886577,0.5025830258302583,0.6275992438563327,0.5490774907749078,0.28463855421686746,0.9153225806451611
122,42,6.03,1.7,11.92,9.11,7.22,5.46,5.13,LU,0.28192371475953565,0.764261744966443,0.7562326869806094,0.1866081229418222,0.5058724832214765,0.5993413830954994,0.6057046979865771,0.31135531135531136,0.8351800554016621
122,43,5.68,1.56,12.58,8.81,7.36,5.41,5.07,LU,0.2746478873239437,0.7003179650238475,0.7350543478260869,0.17707150964812712,0.451510333863275,0.6140749148694665,0.5850556438791733,0.28835489833641403,0.7717391304347825
122,44,6.24,1.75,13.16,9.7,7.77,6.08,5.24,LU,0.28044871794871795,0.7370820668693009,0.7824967824967826,0.18041237113402064,0.47416413373860183,0.6268041237113403,0.5904255319148936,0.2878289473684211,0.8030888030888031
122,45,6.04,1.79,13.33,9.17,7.89,5.61,5.0,LU,0.29635761589403975,0.6879219804951238,0.7110266159695818,0.19520174482006544,0.45311327831957987,0.6117775354416576,0.5918979744936234,0.3190730837789661,0.7655259822560203
122,46,7.46,2.0,15.04,11.46,8.68,7.18,5.46,LU,0.2680965147453083,0.761968085106383,0.8271889400921659,0.17452006980802792,0.49601063829787234,0.6265270506108201,0.5771276595744681,0.2785515320334262,0.8594470046082949
122,47,6.84,1.88,13.9,10.18,8.32,6.27,5.31,LU,0.27485380116959063,0.7323741007194244,0.7536057692307692,0.18467583497053044,0.4920863309352518,0.6159135559921415,0.5985611510791367,0.2998405103668262,0.8221153846153846
122,48,4.91,1.32,11.12,8.09,7.53,5.38,4.94,LU,0.26883910386965376,0.7275179856115108,0.7144754316069056,0.1631644004944376,0.4415467625899281,0.6650185414091471,0.6771582733812951,0.24535315985130113,0.6520584329349269
122,49,6.76,1.94,14.24,10.34,8.3,6.52,5.53,LU,0.2869822485207101,0.726123595505618,0.7855421686746987,0.18762088974854932,0.4747191011235955,0.6305609284332688,0.5828651685393259,0.29754601226993865,0.8144578313253011
122,50,5.84,1.82,12.27,8.8,7.15,4.98,5.18,LU,0.3116438356164384,0.71719641401793,0.6965034965034965,0.20681818181818182,0.47595762021189897,0.5659090909090909,0.5827220863895681,0.3654618473895582,0.8167832167832167
122,51,6.05,1.78,12.21,9.53,7.15,6.23,5.45,LU,0.29421487603305785,0.7805077805077804,0.8713286713286713,0.18677859391395593,0.49549549549549543,0.6537250786988459,0.5855855855855856,0.2857142857142857,0.846153846153846
122,52,5.59,1.41,12.22,8.73,7.33,5.94,4.02,LU,0.2522361359570662,0.7144026186579377,0.810368349249659,0.16151202749140892,0.45744680851063824,0.6804123711340206,0.599836333878887,0.23737373737373735,0.762619372442019
122,53,5.78,1.45,12.45,9.08,7.0,6.2,4.99,LU,0.25086505190311414,0.7293172690763052,0.8857142857142858,0.15969162995594713,0.46425702811244984,0.6828193832599119,0.5622489959839357,0.23387096774193547,0.8257142857142857
122,54,6.11,1.5,12.9,9.43,7.13,6.38,4.92,LU,0.2454991816693944,0.7310077519379845,0.8948106591865358,0.15906680805938495,0.47364341085271316,0.6765641569459173,0.5527131782945737,0.23510971786833856,0.8569424964936887
122,55,6.66,1.78,13.28,10.19,7.29,6.51,5.14,LU,0.26726726726726724,0.7673192771084337,0.8930041152263374,0.17468105986261043,0.5015060240963856,0.6388616290480864,0.5489457831325302,0.27342549923195086,0.9135802469135803
122,56,6.67,1.71,14.02,10.45,7.93,6.7,5.41,LU,0.2563718140929535,0.7453637660485021,0.8448928121059269,0.16363636363636364,0.47574893009985736,0.6411483253588517,0.5656205420827389,0.2552238805970149,0.841109709962169
122,57,5.23,1.38,11.73,9.05,7.03,6.39,4.97,LU,0.26386233269598464,0.7715260017050298,0.9089615931721194,0.15248618784530385,0.4458653026427963,0.7060773480662983,0.5993179880647911,0.21596244131455397,0.7439544807965861
122,58,5.57,1.33,11.92,8.84,7.58,6.02,4.97,LU,0.23877917414721725,0.7416107382550335,0.7941952506596306,0.15045248868778283,0.4672818791946309,0.6809954751131221,0.6359060402684564,0.22093023255813957,0.7348284960422163
122,59,6.04,1.6,12.42,9.37,7.01,6.11,4.95,LU,0.26490066225165565,0.754428341384863,0.8716119828815978,0.1707577374599787,0.4863123993558776,0.6520811099252936,0.5644122383252818,0.2618657937806874,0.8616262482168331
122,60,5.31,1.49,11.43,8.54,6.46,5.67,4.84,LU,0.28060263653483997,0.7471566054243219,0.8777089783281734,0.1744730679156909,0.4645669291338582,0.6639344262295083,0.5651793525809274,0.26278659611992944,0.8219814241486068
122,61,5.67,1.4,12.31,8.7,7.61,5.71,4.89,LU,0.24691358024691357,0.7067424857839154,0.7503285151116951,0.16091954022988506,0.4606011372867587,0.6563218390804598,0.6181965881397238,0.24518388791593693,0.7450722733245729
122,62,4.61,1.23,10.95,7.32,6.6,4.94,4.49,LU,0.2668112798264642,0.6684931506849315,0.7484848484848485,0.1680327868852459,0.4210045662100457,0.674863387978142,0.6027397260273972,0.24898785425101214,0.6984848484848486
122,63,6.03,1.84,11.78,8.77,6.34,5.27,5.03,LU,0.30514096185737977,0.7444821731748726,0.8312302839116719,0.20980615735461802,0.5118845500848896,0.6009122006841505,0.5382003395585738,0.34914611005692603,0.9511041009463723
122,64,5.7,1.23,12.44,8.63,6.77,5.99,5.69,LU,0.2157894736842105,0.6937299035369776,0.8847858197932054,0.14252607184241017,0.4581993569131833,0.694090382387022,0.5442122186495176,0.2053422370617696,0.8419497784342689
122,65,7.11,2.09,14.62,10.35,8.19,6.37,5.45,LU,0.29395218002812934,0.7079343365253078,0.7777777777777778,0.20193236714975846,0.4863201094391245,0.6154589371980677,0.5601915184678522,0.3281004709576138,0.8681318681318683
122,66,5.99,1.78,13.09,8.66,7.06,5.69,5.09,LU,0.29716193656093487,0.6615737203972498,0.8059490084985836,0.20554272517321015,0.4576012223071047,0.6570438799076213,0.5393430099312452,0.312829525483304,0.8484419263456091
122,67,5.3,1.38,11.57,7.9,6.31,5.09,4.81,LU,0.26037735849056604,0.682800345721694,0.8066561014263075,0.17468354430379746,0.4580812445980985,0.6443037974683544,0.5453759723422644,0.2711198428290766,0.8399366085578447
122,68,4.71,1.55,10.23,8.0,5.77,5.36,4.44,LU,0.3290870488322718,0.7820136852394917,0.9289428076256501,0.19375,0.4604105571847507,0.67,0.5640273704789833,0.2891791044776119,0.8162911611785096
122,69,4.89,1.35,10.61,8.16,5.98,5.34,4.68,LU,0.27607361963190186,0.7690857681432611,0.8929765886287625,0.16544117647058823,0.46088595664467485,0.6544117647058824,0.5636192271442036,0.25280898876404495,0.8177257525083611
122,70,5.02,1.4,10.98,7.83,6.45,5.12,4.53,LU,0.27888446215139445,0.7131147540983607,0.7937984496124031,0.17879948914431673,0.4571948998178506,0.6538952745849298,0.587431693989071,0.2734375,0.7782945736434108
122,71,5.1,1.31,11.22,8.74,6.63,5.86,4.7,LU,0.25686274509803925,0.7789661319073083,0.8838612368024134,0.14988558352402745,0.4545454545454545,0.6704805491990847,0.5909090909090908,0.2235494880546075,0.7692307692307692
122,72,5.78,1.43,11.82,8.26,6.04,5.07,4.91,LU,0.24740484429065743,0.6988155668358713,0.8394039735099338,0.17312348668280872,0.4890016920473773,0.6138014527845037,0.5109983079526227,0.28205128205128205,0.956953642384106
122,73,5.9,1.81,11.8,8.79,6.76,5.33,5.05,LU,0.30677966101694915,0.744915254237288,0.7884615384615385,0.20591581342434587,0.5,0.6063708759954495,0.5728813559322034,0.33958724202626644,0.8727810650887575
122,74,6.53,2.26,12.62,9.95,7.22,5.28,5.28,LU,0.34609494640122507,0.7884310618066561,0.7313019390581718,0.2271356783919598,0.51743264659271,0.5306532663316583,0.5721077654516641,0.428030303030303,0.9044321329639889
122,75,5.07,1.32,11.46,8.03,6.46,5.51,4.89,LU,0.2603550295857988,0.700698080279232,0.8529411764705882,0.16438356164383564,0.4424083769633508,0.6861768368617684,0.5636998254799301,0.23956442831215974,0.7848297213622292
122,76,7.41,2.24,14.64,11.3,8.47,6.65,5.15,LU,0.30229419703103916,0.7718579234972678,0.7851239669421487,0.19823008849557522,0.5061475409836066,0.588495575221239,0.5785519125683061,0.3368421052631579,0.8748524203069658
122,77,5.74,1.72,11.33,9.09,6.67,5.69,4.98,LB,0.29965156794425085,0.8022947925860547,0.8530734632683659,0.18921892189218922,0.5066195939982348,0.625962596259626,0.588702559576346,0.3022847100175747,0.8605697151424289
122,78,5.34,1.56,11.09,8.08,5.98,5.29,4.87,LU,0.29213483146067415,0.7285843101893598,0.8846153846153846,0.19306930693069307,0.48151487826871053,0.6547029702970297,0.5392245266005411,0.2948960302457467,0.8929765886287625
122,79,4.78,1.44,10.31,7.62,6.06,4.69,4.93,LU,0.30125523012552297,0.7390882638215325,0.773927392739274,0.1889763779527559,0.463627546071775,0.615485564304462,0.5877788554801163,0.30703624733475476,0.7887788778877889
122,80,6.4,1.73,13.33,9.68,7.99,5.95,5.38,LU,0.27031249999999996,0.7261815453863466,0.7446808510638298,0.17871900826446283,0.4801200300075019,0.6146694214876034,0.5993998499624906,0.29075630252100837,0.8010012515644556
122,81,4.41,1.31,9.79,7.52,5.23,4.93,4.88,LU,0.29705215419501135,0.7681307456588355,0.9426386233269597,0.1742021276595745,0.4504596527068438,0.6555851063829787,0.5342185903983657,0.2657200811359027,0.8432122370936902
